Anime,Recommendation,Reasoning,Recommendation Power
Dance in the Vampire Bund,['Koufuku Graffiti'],"[""Okay minus all the action, blood & naked vampires.. if you got used to all that weird head turns and tilts you'll definitely like both!""]",[1]
Tanaka-kun wa Itsumo Kedaruge,['Senryuu Shoujo'],"[""Both are equally relaxing and even look the same.\r\n\r\nIf you're going to chill out, this will do the same trick that Tanaka kun did.""]",[1]
Love Lab,['Tsurezure Children'],"['Both belong to the ""romantic teen comedy"" genre. \r\nThey have a very similar setup and likeable characters.\r\nTsurezure Children explores the relationship a lot more from both sides, yet maintains the same pace & feeling.']",[1]
Domestic na Kanojo,['5-toubun no Hanayome'],"[""honestly, when i watched domestic it i understood what it was and what it was trying to accomplish. \r\n\r\ntoubun gave me the exact same feeling as watching domestic did. \r\n\r\nso i'd def recommend watching both.""]",[1]
Heroic Age,"['Uchuu Senkan Yamato 2199', 'Mass Effect: Paragon Lost', 'Kujira no Kora wa Sajou ni Utau', 'Mobile Suit Gundam: Iron-Blooded Orphans']","['Both are deep space series in which a group of humans has set out in search of a way to fight back against an overwhelming force of alien enemies, with great animation and music.', ""Both take place in universes where humanity is a fairly recent addition to the galactic community, and is looked down upon by other races. In both entries, the human characters are fighting against an insurmountable alien force that is hunting them down. Some of the side characters' abilities in Heroic Age are similar to the Biotics in ME as well, although I recommend playing the games in full if you enjoyed Heroic Age rather than just watching the movie, as there are further similarities in plot and world elements that aren't really touched upon in Paragon Lost."", 'Both shows have a civilization who have given up their emotions to a single person/being.', '- The design of the two main characters, Age and Mikazuki, is pretty similar;\r\n- Destined soldiers following their princes in battle.']","[1, 1, 1, 1]"
Pandora Hearts,"['Kiseijuu: Sei no Kakuritsu', 'Jibaku Shounen Hanako-kun']","['they both are more on the dark side. and the charaters have personality changes', 'have the same beautiful atmosphere and core.']","[1, 1]"
Shouwa Genroku Rakugo Shinjuu,['Bungou Stray Dogs 3rd Season'],['Both are based on literature. Characters are similar in design and the animations of both are smooth.'],[1]
Touken Ranbu: Hanamaru,['Bungou to Alchemist: Shinpan no Haguruma'],['-sword materialization/author materialization\r\n-fight against evil organization to protect the history/story world\r\n-new swords/authors joins the cast as story progresses'],[1]
Grimms Notes The Animation,['Bungou to Alchemist: Shinpan no Haguruma'],['both the series is about select hereos (authors/storybook main characters) who fight against evil trying to change the stories in famous books/fairytales'],[1]
Konjiki no Gash Bell!!,['Fate/Zero'],"[""Konjiki no Gash Bell is about a Battle Royal between demons child's summoned from the demon world and similar to Fate they are paired up with human masters which help them to win and at last become the demon king. Zatchbell as commonly called is about the struggles of  a demon child Zatchbell who lost his memories and his adventures as they confront enemies as well as make new allies.""]",[1]
Pokemon,"['Monster Farm: Legend e no Michi', 'Digimon Adventure']","['Both monster collecting/taming/battling kids anime.\r\nBoth have competitive battles, similar aged human heroes & wide ranges of varied monster designs.', ""We have kids wandering around having fights with their cute monsters while exploring and forming bonds with their monster partners and others around them. Of course, with Pokemon it's more slice of life in a world strange to us, while in Digimon it's more adventure mostly in a world strange to the protaganists. There are elements of everyday life/adventure in each though. Despite being quite different in some aspects, both series have a similar late 90s feel and are really fun, doing a great job at breaking ground for what were fresh franchises at the time.""]","[1, 1]"
Rewrite,['Kono Yo no Hate de Koi wo Utau Shoujo YU-NO'],"['I think you will like YU-NO if you liked Rewrite, for basically four reasons\r\n1- both shows are parallel worlds and time travel based\r\n2- main character, well characterized, fights against ""destiny"" for his love/family\r\n3- several plot twists\r\n4- the mix of so many genres will drives you crazy!']",[1]
Aho Girl,"['Tejina-senpai', 'Asobi Asobase', 'Murenase! Seton Gakuen']","['Both shows have the same vibe going on. They are split in parts and one episodes has an average of 3 parts. They also are both super freaking hillarious. Aho Girl is a bit more on the ""the main character is dumb"" stuff, while Tejina Sempai is stronger on the ""the main character is hot and does ecchi things"" part. Both shows are only around 100 minutes, since the episodes are only around 10 minutes each. (Watch the Aho Girl OP though, it changes every time and has a nice tune)', 'Both funny and hilarious show in their own way, but asobi asobase focus mostly on the girls spending their time and no harem.', ""Similarities:\r\n\r\n1. The same  School, Comedy and Romance genre.\r\n\r\n2. The same character predicament where Main guy likes certain girl, but carnivore girl always gets in the way....\r\n\r\n3. The same Main Guy where it tries his best to get carnivore girl outta his life, but can't.\r\n\r\n4. The same harem girls that gets together and it include, carnivore girl and the girl that the main guy likes. \r\n\r\nDissimilarities:\r\n\r\n1. Different school setting, where in one anime has the usual school setting while the other one has a very odd school setting.\r\n\r\n2. One anime has the harem members competing for the main guy's affection, while the other anime only one harem member competes for the guy's affection.""]","[1, 1, 3]"
SKET Dance,"['Saiki Kusuo no Ψ-nan', 'Gintama.']","[""both are comedy/slice of life, about high school students with weird, sometimes satirical characters, theyre both episodic. idk i just feel like if you find SKET dance enjoyable, you'd definitely find saiki k funny too!! they give off a similar vibe lmao"", ""both story is about a group (consist of straight person and noisy person) who helps other with ridiculous problem. While Gintama comedy's style is more dirty and adult, Sket Dance almost not have any fan service and dirty jokes stuff""]","[1, 1]"
Girls & Panzer,"['Girly Air Force', 'Koisuru Asteroid']","['Military Themes with cute girls', 'The story feels similar: abandon club got reunite for certain reason appear as a motive. Club part always had its momentums. But, all of this show, prove me how School club got involved so much on these show rather than its usual academic normal activity, such as study, or else. Not mentioning any other partion separate from this section, tho. But, my point with both of these was: Cute girls doing cute things on her favourite clubs activity.']","[1, 1]"
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,['High School DxD BorN'],"[""Battle harems from the early 2010's that draw inspiration from nordic and greek mythology to create their main plot and several of their antagonists.""]",[1]
Isekai no Seikishi Monogatari,"['Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken', ""Knight's & Magic""]","['both have male mc that are forcible take to another secret school/ isekai to a high medieval world and end up at a school. both have many high born girls chasing after them both MC have culture shock for being transported to another world although Shimon sample more figuratively \r\n\r\ndifference War on Geminar is an isekai with an extremely overpowered MC, has a lot more drama including a war arc it has a tame ecchi \r\n\r\nShimon sample the MC his pick to introduce shelter high born girls to commoners and males as the entire student body along with staff are female the MC was pick because he the embodiment of average plus the school believes he gay with a muscle fetish and to keep from being castrated or shipped off to the end of earth the MC must keep up the act. this is a very mild ecchi', 'Isekai, mecha, robots, anime girls, op mc, taking down baddies, all that good shit.']","[1, 1]"
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,['Kidou Keisatsu Patlabor 2 the Movie'],"[""Oshii clearly cribbed from his own work when conceptualizing the narrative for 2nd GIG and expanded on it. It's a narrative revolving around sociopolitical circumstances being manipulated by duplicitous government officials as well as an idealistic white-haired former soldier.""]",[1]
Bakugan Battle Brawlers: New Vestroia,['Monster Farm: Legend e no Michi'],"['Both second seasons of kids monster battling anime.\r\nBoth have monsters that speak in human language and converse with the human characters.\r\nBoth have a similar aged cast of human characters.\r\nBoth shows that tried to mimic the successes of other shows like Pokemon, Digimon & Beyblade.']",[1]
Devil May Cry,['Garo: Vanishing Line'],['Devil May Cry - The Animated Series is average at best and fails to portray what makes the games so popular to begin with. Garo: Vanishing Line is what would happen if someone actually made an anime inspired by Devil May Cry.'],[4]
Puni Puni☆Poemii,"['Plastic Neesan', 'Nurse Witch Komugi-chan Magikarte', 'Lingerie Senshi Papillon Rose']","['Both feature non-stop random comedy and ecchi at a breakneck speed.', ""Batshit early 2000's magical girl parodies with violently genki protagonists. Komugi-chan isn't quite as out there as Puni Puni Poemi but it still has a pretty similar vibe."", 'Both are basically sexy magical girl animes parodying Sailor Moon']","[1, 1, 1]"
Shichinin no Nana,['5-toubun no Hanayome'],"['In both animes theres sisters/copys who pretty much look alike, each one with a different personality.']",[1]
Bakugan Battle Brawlers,['Monster Farm: Legend e no Michi'],['Both smaller monster battling kids anime that tried to mimic the success of shows like Pokemon & Digimon.\r\nBoth have human language speaking creatures.\r\nBoth have competitive battles.\r\nBoth have similar aged human characters.'],[1]
ACCA: 13-ku Kansatsu-ka,['Fugou Keiji: Balance:Unlimited'],['similar character and vibes if you like Acca 13  you will find something interesting here'],[1]
Tari Tari,['Hanayamata'],"['Both have a big focus on drama around the different characters, and both are about girls in school who take part in a music oriented club.']",[1]
Cardcaptor Sakura: Kero-chan ni Omakase!,['Pokemon: Pikachu no Natsuyasumi'],"['Both are incredibly high-octane short films tied to a movie, starring animal-like creatures doing all sorts of hijinks.']",[1]
ChäoS;Child,['Boogiepop wa Warawanai (2019)'],"[""Both Boogie and other and Chaos;Child have a deep story which will keep you confused for a while slowly giving away details to make sense of the whole situation. In both anime, you usually see the story from the main characters perspective where he is the least informed of the characters about what is happening and later on becomes the hero. Also, they both share the theme where the characters go a 'bit' insane because of psycological reasons.""]",[1]
Petshop of Horrors,"['Boogiepop wa Warawanai', 'Boogiepop wa Warawanai (2019)']","['While it is shorter, Pet Shop of Horrors has just as much suspense and horror as Boogiepop Phantom. They both have seemingly unrelated stories tied together with a single thread, and have a very mysterious antagonist', 'Both gerneraly have the same vibe of human flaw. Each have humans with personality, or social problems that draws a dark influence to them, eventually giving them the power to destroy themselves with there own devices.']","[1, 1]"
Perfect Blue,"['Boogiepop wa Warawanai (2019)', 'Aoi Bungaku Series']","['A dark mood with a hint of madness is what fills these two series. They give you a deeper view into the psychics of humans, both realistic and not, and is bound to entertain the one who like dementia. A given choice.', 'both have a character who is depressed enough either to kill themselves or others. They are struggle to push away all bad hallucination that seems more real than reality, and then keep facing the harsh reality. Character design is similar too, they are mature and classic']","[1, 1]"
Ousama Game The Animation,"['Boogiepop wa Warawanai (2019)', ""Darwin's Game""]","[""Both Boogiepop and king's game utilise mystery to slowly uncover a strange plot filled with mind boggle-ry based around an artificial existence"", 'Basically the same premise: a battle royale-type game and people trying to survive it with their wits.']","[1, 1]"
Yamada-kun to 7-nin no Majo (TV),"['Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', 'Jibaku Shounen Hanako-kun']","['-different female characters have different insecurities that effect the main characters life similarly to Yamada-Kun \r\n-School setting \r\n-Theres just a lot of similarities give this one a watch', '❃ Both anime are set in a school\r\n❃ In both anime, there are seven famous ""supernatural creature"" and the main characters try to help them']","[1, 1]"
Hiiro no Kakera,['Akatsuki no Yona'],"['Both stories of reverse harem, in a group of boys protects the protagonist from all danger, another aspect is that the fights are interesting, the characters are not boring.']",[1]
Mahou no Princess Minky Momo,['Pokemon'],"['Kunihiko Yuyama and Takeshi Shudo, iconic writers for the Pokemon anime series, got their start writing for this show. The charm of their writing is still very apparent even back then, creating a wholesome ""made to sell toys to the under 9 crowd"" anime that still manages to be enjoyable for adults as well.']",[1]
Bleach,"['Yuu☆Yuu☆Hakusho', 'Kami no Tou']","[""It's like what Yoshihiro Togashi would do if they let him without any pressures"", ""It's similar to the design of characters and they both contain swords with spirits. Also believe it or not this show may actually end up containing bleach references throughout the episodes.""]","[1, 1]"
Mahou Shoujo Site,['Happy Sugar Life'],"['Both are VERY psychological anime, dealing with lots of touchy subjects most anime, and even tv shows, refuse to go after. Scary. scary scary scary. These anime will leave you shivering in your boots wondering, whats next? If you enjoyed Magical girl Site, you will like Happy Sugar Life. and trust me, that anime is anything but its title suggests.']",[1]
Phi Brain: Kami no Puzzle,['Id:Invaded'],"['Spoiler-Free reasons:\r\n-A badass highly perceptive MC\r\n-The ""escape-room"" feeling every episode\r\n-The well-written relation between Maths/Physics with cases\r\n-The inevitable danger that scales with episode count in both series\r\n-More highly competent main characters the further this gets \r\nDifferences:\r\n-ID:Invaded is much much darker, for more mature audiences as it has violence / even gore at some points / real Psychological tag.\r\n\r\nSpoiler Warning similarities:\r\n-The more this goes on, the darker it gets\r\n-An ""antagonist"" that has to work with MC later on']",[1]
Akagami no Shirayuki-hime,"['Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...', 'Arte']","['If you like romance like snow white with the read hair then you will like Otome, it has more comedy in that snow white with the red hair but definitely a good romance to watch', ""historical setting. Both Main characters is a young woman determined to make her own way in life. In Snow White it's about herbs and medicine, in Arte it's about art.""]","[1, 1]"
Rifle Is Beautiful,['Koisuru Asteroid'],"['The story feels similar: abandon club got reunite for certain reason. Club part always had its momentums. But, all of this show, prove me how School club got involved on these show. Not mentioning any other partion separate from this section, tho. What i must say here just for this connection: MC was a cute girl - she new in the school, but really want to enterring club - involved to other cute girl - get wet in to clubs problem - reassembling that club - doin CGDCT typical activity - end - or get circle as a SoL school normal life with that club activity.\r\n\r\nNote there: club somehow same as a extraculicar branch of study or rather get a same name referring the non-academic activity the school had.']",[1]
Seikaisuru Kado,"['Id:Invaded', 'Babylon']","[""They both have the same vibe in a sense of a mystery puzzle. As mentioned in the anime(I think it was mentioned), they feed you information that is not useful alone, where you'll need to collect each piece to understand said Mystery.\r\n\r\nAnd the Problem here? It is that they fed you pieces of information, but the core detail is always before the end of the confrontation with the Main Mastermind."", ""Both are politic dramas that focus on the world's response to supernatural events. The introduction of a supernatural/sci-fi person in the world presents new ideology and debates with politicians. The philosophies for the ideal societies in either show are very speculative and based on the writer's opinion rather than believable concepts rooted in reality.\r\n\r\nThey are written by the same man. While each start with an intruiging premise, their endings take a pseudo-philosophical turn. Babylon ends on a more disappointing note, to say the least.""]","[2, 1]"
Onegai☆Teacher,"['Ano Natsu de Matteru', 'Hatsukoi Limited.']","[""well onegai teacher and ano natsu de matteiru are  almost 82% similar. the only difference is onegai teacher is a bit depressing but ano natsu de matteiru was good compared to that. like mc's friend is in love with him and like most of the anime mc is in love with other girl, onegai teacher is depressing cuz it seems like a forced one."", 'This anime is a little bit similar to hatsukoi limited, in a few points only, like love triangle problems.']","[1, 1]"
Shounen Maid,['Runway de Waratte'],['HARD WORKING LEADS TO SUCCESS\r\ni have recently started runway de waratte however the male protagonist is somehow similar to protagonist of shounen maid i love the anime shounen maid it is a inspiration to see how hard that little boy works and a bit similar to runway de waratte'],[1]
Spider Riders: Yomigaeru Taiyou,"['Monster Farm: Legend e no Michi', 'Kodai Ouja Kyouryuu King: Yokuryuu Densetsu', 'Kodai Ouja Kyouryuu King']","['Both second seasons of niche kids monster battling anime.\r\nBoth have creatures that speak with human language and converse the human characters.\r\nBoth have similar aged human characters.', 'Both second seasons of niche monster battling kids anime. \r\nBoth have intelligent creatures based on real world animals who communicate with their human counterpart.', 'Both classic kids monster battling anime that are a lot more niche yet similar to more popular shows such as Digimon & Beyblade.\r\nBoth have sentient creatures based on real world animals.\r\nBoth have similar aged protagonists.']","[1, 1, 1]"
Sakura-sou no Pet na Kanojo,"['Bokura wa Minna Kawai-sou', 'Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', 'Chuunibyou demo Koi ga Shitai!', 'Fruits Basket 1st Season', 'Tamako Market', 'Saenai Heroine no Sodatekata']","['if you want \r\nGood story\r\nproper teenage Romance \r\nschool life \r\nin the end, Entertainment \r\nwhere these two r fell in similar condition', 'Same author, both have nothing to do with the title/poster, you go in expecting some generic harem but then you get hit with an actually good and emotional story. Both have lovable characters with witty dialogue.', ""They're both great slice of life/comedy shows.Also both has a little bit of drama too."", ""Slice of life, lessons on morality and solving personal issues with others.\r\n\r\nFruits Basket is more about accepting others, trying to get to know each other better, and learning about the personalities of each person.\r\n\r\nThe Pet Girl of Sakurasou is more about being there for each other, solving issues together and how hard work sometimes doesn't pay off."", 'Both wholesome and you will enjoy every epsidoe surely if you love Slice Of Life types of anime.', ""These animes are both about a guy without any particular talents, but they do both have a dream! Because of their strong desire to make that dream come true, they get the attention of some really talented people, and they all start forming a relationship with each other with the main protagonist in the middle of it all.\r\nBut making a dream come true isn't necessarily an easy task, but the friendships formed along the way, is hopefully enough to make the dream come true in the end.""]","[2, 1, 1, 1, 1, 1]"
Re:Zero kara Hajimeru Isekai Seikatsu,"['Tate no Yuusha no Nariagari', 'Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai']","['Both main characters travel to a fantasy world and have to overcome hardships along there journey', ""- the main character (male) is surrounded by female friends, but it isn't a harem\r\n- the main character is attracted to the main girl who holds a high status position (actress/model, candidate for royal selection)\r\n- the main character harnesses a form of time travel to rescue the main girl\r\n- both animes have a side girl in love with the main character. the side girls in both animes have similar personalities and are voiced by the same person.""]","[4, 1]"
Full Moon wo Sagashite,['Mermaid Melody Pichi Pichi Pitch'],"[""Both are idol shows from the early '00s with rather similar art styles and overall feel.\r\n\r\nYou don't even need to have nostalgia for these series to get that warm feeling of childlike wonder and joy, and that's partially what makes them so great and fun to watch!\r\n\r\nMermaid Melody is generally a bit more lighthearted than Full Moon, although; both still have plenty of character drama. Watch Mermaid Melody if you're in the mood for something sunny and silly, and watch Full Moon if you wanna go on an emotional rollercoaster.""]",[1]
Mikan-Seijin,['Flying Luna Clipper'],"[""Both are sort of visually similar in the way that they're animated.\r\n\r\nThey are also really bizarre. Really, really bizarre and random.""]",[1]
Hitsuji no Uta,['Shiki'],"['Both shows take a neutral if not sympathetic positions on vampires. They show the hardships in their ""life"", the emotional damage the hurting or killing others causes, how humans can feel pity with vampires and ""feed"" them and so on. In short, vampires are portrayed as life different from us, with their own share of problems and not as monsters. Shiki\'s cast is large and faces a standoff with villagers to the point of outright battle, where Hitsuji no Uta has the focus on a sibling couple and their closer social circle of friends and family.\r\n\r\nThe commonality is the take on vampires, the stories are very different but share the intimate moments of glimpses into what essentially is a tragic fate.']",[1]
Golden Time,['Ore Monogatari!!'],"['If you like a story where the main character gets into a relationship quickly, this is the perfect show! \r\nOre Monogatari is a very fun anime showing the slow progression of a new relationship, with very interesting subplots that develop the other characters. \r\nOre Monogatari also has amazing pacing, and great humor!']",[1]
Demi-chan wa Kataritai,"['Ishuzoku Reviewers', 'Murenase! Seton Gakuen']","['The premise of both is about finding out the particular characteristics of demi-humans in a diverse world where every being from various races coexist, albeit in a different way.', 'These anime, while varying in tone and style of humor, are similar in one core respect that I believe makes a recommendation appropriate. \r\n\r\nAt their most basic levels, these shows revolve around a human man interacting with non-human girls in a school setting, and all the challenges and hilarity that comes with that. \r\n\r\nIn Seton, we follow a human student interacting with various animal girls.\r\n\r\nAnd in Demi-chan we follow a human teacher teaching and learning about monster-girl students. \r\n\r\nWhile Seton is a more comedic show and Demi-chan is more strictly slice of life/coming of age story, both carry a similar undeniable charm because of the non-human nature of their supporting casts.']","[1, 1]"
Chuuka Ichiban!,['Shokugeki no Souma'],['The obvious similarities of these anime are the protagonists who aim to become the best chefs and the premise of both anime have cooking battles.'],[1]
Kimi no Na wa.,"['Kimi no Suizou wo Tabetai', 'Tenki no Ko', 'No Game No Life: Zero', 'Shelter']","['its a more defined version of your name , its not a too typical of a romance movie and its special in its own way .', 'Both of the movies are directed by Makoto Shinkai, and they exist in the same universe. Bunch of references to the previous movie, similarly beautiful scenery and animation. Both movies are awe-inspiring in similar ways, you will be immersed so greatly that the fictional world will become real and you will wish to share the experiences with the characters yourself. Both movies TRULY AMAZING.', ""Why would these two compare? Well the plot thickens as the story develops itself. The anime are about finding love and comfort. Both heartwarming and breathtaking. While Zero has a more dark edge to it, it still holds that you will find it refreshing and soothing to watch just like Kimi no na wa. If youve seen No Game No Life you're screaming at the end of the anime. Kimi no Na Wa also pulls out that kind of emotion."", ""One day, destinies of two people changed. But not pessimism. It's way for walk to the bright future.\r\nBoth have amazingly beautiful art, very nice songs, stalwart characters. Fantastic and gorgeous.\r\nMitsuha and Rin are so adorable girls in every way. They're positive and likable. And part of symbols.\r\nThey get involved unknown worlds by a certain events. Full of alienation. Especially Rin. However, they never give up.\r\nShelter only six minutes though, little similar to Kimi no Na wa. in terms of story. You can know if you listened both songs.\r\nBecause meaning of their songs are very deep. Shelter tends to it. As you can see, Shelter is AMV which made by Official staff.\r\nKimi no Na wa. has more detailed story. Aside from whether it's good or mediocre, I think plot of this movie is decent except some flaws.\r\nOn the other hand, Shelter storytelling seems abstract, actually have a point IMO. This AMV has essence as same as Kimi no Na wa.\r\nAs a result, both works are really emotional and thought-provoking about human nature. In a word, reasonable.\r\nYou'll love Shelter if you're a big fan of Kimi no Na wa. or Makoto Shinkai. After watched this AMV, you'll feel happy for someone.""]","[1, 4, 1, 1]"
Alien 9,['Houseki no Kuni (TV)'],"[""Phos and Otani are very similar characters: useless is best word to describe both of them.\r\nIn Houseki no Kuni we can see rapid development of Phos character as she has perfect environment to grow. Alien 9 depicts same type of person in imperfect environment. Along with environment Phos is more perfect and likable because she is useless but also cheerful. Otani is useless and a crybaby so you can find her annoying sometimes.\r\nSet of characters differs in quantity but in both shows we've two types of characters (excluding protagonist): Sensei (caring in Houseki vs. exploitative in Alien 9) and friends (leading vs. replacing her in her duties).\r\nBoth shows are weird but each has different kind of weirdness. In short (lol wtf vs. wtf... WTF)""]",[1]
Yama no Susume,"['Houkago Teibou Nisshi', 'Sora yori mo Tooi Basho', 'Houkago Saikoro Club']","['A cute girl who likes indoor activities meeting a cute childhood friend who loves outdoor and drags the protagonist to the outdoor world.', ""Yama no Susume has the outdoors theme, cute girls and a theme of overcoming indecision/maturing as a person/seishun suru! - the character relationships and characters themselves are less deep or complex but it's very enjoyable."", 'Both series focus on a shy protagonist who is dragged into a niche activity by a energetic genki girl. Houkago focuses more on the relationships surrounding the activity, while Susume gives the watcher an in-depth look into its hobby.']","[1, 1, 1]"
Spider Riders: Oracle no Yuusha-tachi,"['Monster Farm: Legend e no Michi', 'Kodai Ouja Kyouryuu King: Yokuryuu Densetsu', 'Kodai Ouja Kyouryuu King']","['Both niche alternatives to shows such a Pokemon/Digimon that rode the tail winds of the kids monster battling/taming craze in anime around a similar time.\r\nBoth have creatures that speak in human language and converse with the human characters in the show.', 'Both more niche alternatives to Digimon/Pokemon style shows.\r\nBoth have young heroes, monster battling & intelligent creatures who communicate with their human partners.', 'Both kids anime that have sentient monster companions to human heroes. Both shows have the creatures communicate with the heroes in order to combat a common enemy.\r\nBoth more niche alternatives to classics such as Pokemon, Digimon, Beyblade & Yugioh.']","[1, 1, 1]"
Scrapped Princess,['World Destruction: Sekai Bokumetsu no Rokunin'],['-similar plot\r\n- both MC travels the world with a partner'],[1]
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,['Kitsutsuki Tanteidokoro'],"['Interested in the daily lives and art forms of the Showa era? Can\'t wait to uncover mysteries? Keen to see some drama? Generally interested in the workings behind friendships and other relationships?\r\n\r\nIf you answered ""yes"" to any of the questions above, then either (or both) of these shows might be just perfect for you.']",[1]
Meiji Tokyo Renka,['Jibaku Shounen Hanako-kun'],['-Great comedy\r\n-Interactions with ghosts'],[1]
Netorare: Tanabe Yuuka no Dokuhaku,['Sakuramiya Shimai no Netorare Kiroku'],"[""Your lover is taken from you willingly (not by hypnotized) but you feel good about it? Then you get them both anime has similar atmosphere here. Both tells story about one's partner being taken forcefully but then after enough amount of satisfactory(?), the taken partner's is willingly to be taken, and the victim on netorare feels good about it.""]",[1]
Houseki no Kuni (TV),"['Chikan Shita Joshi*sei to Sonogo, Musabori Au Youna Doero Junai']","['This may seem like a bizarre recommendation, but both of these anime are examples of how CG can be done right.\r\n\r\nHouseki no Kuni, aka. Land of the Lustrous uses its 3D CG as a way of highlighting the crystalline aspect of the characters. Thus the CG becomes a piece of the character itself.\r\n\r\nChikan Shita is a hentai that uses its CG alongside 2D elements to present more fluid sex-dynamics in Doujinshi based adaptation without going so far as losing the entirety of a comic style. This allows the animation to far transcend the wiggling still frames that Queen Bee hentai is known for.']",[1]
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",['Youjo Senki'],"[""Both are military isekai anime. -True, Gate focuses more on the harem than actual combat, but It's still worth watching, especially if you loved the military aspect of Youjo Senki!""]",[1]
Ore Monogatari!!,"['Beastars', 'Tsurezure Children']","['It follows the same tropes of ""Beauty and the Beast""', 'Light-hearted romance and comedy.  Both are adorable and funny!']","[1, 1]"
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"['Dr. Stone', 'Ore wo Suki nano wa Omae dake ka yo', 'Rikei ga Koi ni Ochita no de Shoumei shitemita.']","['Both shows have very similar humor and stylistic slapstick. While Dr. Stone focuses on science in an apocalyptic world with comedy on the side, Kaguya-sama: Love is War continues a similar joke style but places it’s characters in a totally different environment. Even though the characters are distinctly different, both shows leave similar impressions on the viewer that makes a transition between the two really seamless.', 'Both shows offer have a great comedically driven take on the classic high school romance setting.', ""They both have the same theme of a male & female couple that are obviously in love with each other, but both deny it. The main differing part is that in Kaguya Sama, they try to get each other to prove it, so it's like two tsunderes that are in love with each other, but in Rikei ga Koi ni Ochita no de Shoumei shitemita, they try and do wacky experiments (just activities normal couples do) to prove their love.""]","[1, 1, 5]"
Kizuoibito,['Ousama Game The Animation'],"['As far as unintentional comedy goes, these two are the kings (no pun intented) of the genre, if you are the type of person who enjoys watching bad anime and shredding them apart for all their noticeable mistakes then watching any of these two will prove to be a fruitful experience.']",[1]
Hibike! Euphonium,['Kono Oto Tomare!'],['The music and training and goal of nationals are very similar! Although I like this show better'],[1]
Hellsing,['Black Lagoon'],['Both anime are quite similar in their tone and main cast members and both are just amazing shows'],[1]
Popee the Performer,['Kuuchuu Buranko'],"[""I feel like if you liked Popee for it's surrealism, you'd appreciate Kuuchuu Buranko. They both have such similar color palettes (bright, bouncy, and neon) and tone while watching them.""]",[1]
Kino no Tabi: The Beautiful World,"['Shoujo Shuumatsu Ryokou', 'Shigofumi', 'Black Jack']","['Two buddies travel a lonely world in melancholy, exploring and discovering fascinating places and people.', ""Anime not really known all that well, but worth your time if you like to explore human values. Both are dark, and focus on a stoic protagonist with a talking inanimate companion.\r\n\r\nKino seems to be the friendlier one compared to Fumika, who only wishes to do her job. However, both of these characters unveil the world around them and that's what makes these shows special."", ""Both are episodic TV series that are very meandering and slow. They both also have a dark view of the world, yet aren't afraid to display its more upbeat moments either. The main character in both series is a serious person who has dedicated their life to one purpose, and they have a more lighthearted sidekick with them. Both series also feature the main character travelling to a different place each episode.""]","[1, 1, 1]"
Baccano!,"['91 Days', 'Fugou Keiji: Balance:Unlimited', 'Pet', 'Boogiepop wa Warawanai (2019)', 'Dorohedoro', 'Durarara!!']","[""if you like anime with gangster story then, maybe both of them you are looking for. personally i'd like 91 days more than baccano!, but more importantly they have deep story that you must watch. baccano! is a popular anime, but 91 days is underrated anime atleast in my region."", ""both anime are about characters dealing with situations their own bizarre way in case of The Millionaire Detective it's with money!"", '- Both series were entangled in psychological theme.\r\n- Both story implicated characters with coincident of special powers features.\r\n- Both series has piles of characters in undefined state, neither good or villain side. Most characters of both series were in grey color-- where the protagonists were set and living at the same boat of antagonists. \r\n- At a glance, both story were made without the primary of main character. The more you watch, the more confused you to be.\r\n- Storytelling were unique and were made into severe point of views.', ""If you liked the style and construction of Boogiepop And Other Baccano should suit your tastes. It may be not as psychotic as Boogiepop, but its story is multi-layered, twisted and dark. Also it has a lot of characters and there's something unnatural about some of them."", ""The eclectic cast is lovable, no matter which side of the conflict they are on, despite constantly committing murder and torture. Even if someone is initially introduced in a negative light, they are developed until you eventually love them. \r\n\r\nThe plot is constantly twisting and changing,  and everyone has their own agenda. Plot threads and character arcs that initially seem unconnected are woven together, and you're always on the edge of your seat."", 'Written by the same author. Both have an ensemble cast, with different types of characters who are all interesting and quirky in their own ways. Both have fantasy elements. Lots of mystery in both.']","[2, 1, 1, 1, 1, 2]"
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,['Boku no Hero Academia 4th Season'],"['Goody two shoes boy wants to save a girl whose power are being used to for ""evil"" deeds. The girl doesn\'t want to be saved.']",[1]
